id,parent_circuit_id,chain_name,original_circuit,original_category,original_circuit_path,opt_1,opt_2,opt_3,qasm_path,initial_num_qubits,initial_depth,initial_two_qubit_gates,initial_total_gates,final_num_qubits,final_depth,final_two_qubit_gates,final_total_gates,opt_chain
56,2,single_5,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,qiskit_standard,,,,12,25,66,114,0,134,171,406,efficient_su2_12__qiskit_standard
57,2,single_5,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,qiskit_standard,,,,12,25,66,114,0,147,203,494,efficient_su2_12__qiskit_standard
58,2,single_5,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,qiskit_standard,,,,12,25,66,114,0,132,172,503,efficient_su2_12__qiskit_standard
59,2,single_5,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,qiskit_standard,,,,12,25,66,114,0,181,240,535,efficient_su2_12__qiskit_standard
60,2,single_5,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,qiskit_standard,,,,12,25,66,114,0,156,214,486,efficient_su2_12__qiskit_standard
61,2,single_5,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,qiskit_standard,,,,12,25,66,114,0,182,253,545,efficient_su2_12__qiskit_standard
62,2,single_5,efficient_su2_12,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12.qasm,qiskit_standard,,,,12,25,66,114,0,150,213,469,efficient_su2_12__qiskit_standard
63,3,single_1,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,wisq_rules,,,,12,19,22,94,0,25,22,166,efficient_su2_12_r2__wisq_rules
64,3,single_1,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,wisq_rules,,,,12,19,22,94,0,25,22,166,efficient_su2_12_r2__wisq_rules
65,3,single_2,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,wisq_bqskit,,,,12,19,22,94,0,38,17,89,efficient_su2_12_r2__wisq_bqskit
66,3,single_2,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,wisq_bqskit,,,,12,19,22,94,0,39,16,82,efficient_su2_12_r2__wisq_bqskit
67,3,single_3,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,tket,,,,12,19,22,94,0,13,22,22,efficient_su2_12_r2__tket
68,3,single_3,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,tket,,,,12,19,22,94,0,13,22,22,efficient_su2_12_r2__tket
69,3,single_3,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,tket,,,,12,19,22,94,0,13,22,22,efficient_su2_12_r2__tket
70,3,single_3,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,tket,,,,12,19,22,94,0,13,22,22,efficient_su2_12_r2__tket
71,3,single_3,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,tket,,,,12,19,22,94,0,13,22,22,efficient_su2_12_r2__tket
72,3,single_3,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,tket,,,,12,19,22,94,0,13,22,22,efficient_su2_12_r2__tket
