,parent_circuit_id,parent_circuit,original_circuit_id,original_circuit,original_category,original_circuit_path,chain_name,opt_level,opt_1,opt_2,opt_3,artifact_path,initial_num_qubits,initial_depth,initial_two_qubit_gates,initial_total_gates,final_num_qubits,final_depth,final_two_qubit_gate_count,final_total_gates,runtime,opt_chain
21,8,barenco_tof_10,8,barenco_tof_10,feynman,benchmarks/ai_transpile/qasm/feynman/barenco_tof_10.qasm,qiskit_ai,1,qiskit_ai,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_ai/barenco_tof_10/step_0_qiskit_ai/cheap_1_opt_barenco_tof_10_qiskit_ai_step0_qiskit_ai.qasm,19,98,0,130,19,596,192,902,0.7882335419999436,barenco_tof_10__qiskit_ai
22,8,barenco_tof_10,8,barenco_tof_10,feynman,benchmarks/ai_transpile/qasm/feynman/barenco_tof_10.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/barenco_tof_10/step_0_qiskit_standard/cheap_1_opt_barenco_tof_10_qiskit_standard_step0_qiskit_standard.qasm,19,98,0,130,19,371,192,463,0.01245312497485429,barenco_tof_10__qiskit_standard
23,8,barenco_tof_10,8,barenco_tof_10,feynman,benchmarks/ai_transpile/qasm/feynman/barenco_tof_10.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/barenco_tof_10/step_0_tket/cheap_1_opt_barenco_tof_10_tket_step0_tket.qasm,19,98,0,130,19,371,192,463,1.27782295900397,barenco_tof_10__tket
24,9,barenco_tof_3,9,barenco_tof_3,feynman,benchmarks/ai_transpile/qasm/feynman/barenco_tof_3.qasm,qiskit_ai,1,qiskit_ai,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_ai/barenco_tof_3/step_0_qiskit_ai/cheap_1_opt_barenco_tof_3_qiskit_ai_step0_qiskit_ai.qasm,5,14,0,20,5,82,24,124,0.056318582966923714,barenco_tof_3__qiskit_ai
25,9,barenco_tof_3,9,barenco_tof_3,feynman,benchmarks/ai_transpile/qasm/feynman/barenco_tof_3.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/barenco_tof_3/step_0_qiskit_standard/cheap_1_opt_barenco_tof_3_qiskit_standard_step0_qiskit_standard.qasm,5,14,0,20,5,49,24,64,0.0049295410281047225,barenco_tof_3__qiskit_standard
26,9,barenco_tof_3,9,barenco_tof_3,feynman,benchmarks/ai_transpile/qasm/feynman/barenco_tof_3.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/barenco_tof_3/step_0_tket/cheap_1_opt_barenco_tof_3_tket_step0_tket.qasm,5,14,0,20,5,49,24,64,0.3950295830145478,barenco_tof_3__tket
27,10,barenco_tof_4,10,barenco_tof_4,feynman,benchmarks/ai_transpile/qasm/feynman/barenco_tof_4.qasm,qiskit_ai,1,qiskit_ai,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_ai/barenco_tof_4/step_0_qiskit_ai/cheap_1_opt_barenco_tof_4_qiskit_ai_step0_qiskit_ai.qasm,7,26,0,34,7,156,48,230,0.10594320902600884,barenco_tof_4__qiskit_ai
28,10,barenco_tof_4,10,barenco_tof_4,feynman,benchmarks/ai_transpile/qasm/feynman/barenco_tof_4.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/barenco_tof_4/step_0_qiskit_standard/cheap_1_opt_barenco_tof_4_qiskit_standard_step0_qiskit_standard.qasm,7,26,0,34,7,95,48,121,0.006753209047019482,barenco_tof_4__qiskit_standard
29,10,barenco_tof_4,10,barenco_tof_4,feynman,benchmarks/ai_transpile/qasm/feynman/barenco_tof_4.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/barenco_tof_4/step_0_tket/cheap_1_opt_barenco_tof_4_tket_step0_tket.qasm,7,26,0,34,7,95,48,121,0.5844342909986153,barenco_tof_4__tket
30,11,barenco_tof_5,11,barenco_tof_5,feynman,benchmarks/ai_transpile/qasm/feynman/barenco_tof_5.qasm,qiskit_ai,1,qiskit_ai,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_ai/barenco_tof_5/step_0_qiskit_ai/cheap_1_opt_barenco_tof_5_qiskit_ai_step0_qiskit_ai.qasm,9,38,0,50,9,230,72,342,0.2540524579817429,barenco_tof_5__qiskit_ai
