id,parent_circuit_id,parent_circuit,original_circuit_id,original_circuit,original_category,original_circuit_path,chain_name,opt_level,opt_1,opt_2,opt_3,qasm_path,initial_num_qubits,initial_depth,initial_two_qubit_gates,initial_total_gates,final_num_qubits,final_depth,final_two_qubit_gates,final_total_gates,total_runtime_seconds,opt_chain
635,43,vbe_adder_3,43,vbe_adder_3,feynman,benchmarks/ai_transpile/qasm/feynman/vbe_adder_3.qasm,tket,1,tket,,,,10,28,10,50,0,83,58,139,1.564572256989777,vbe_adder_3__tket
646,44,qaoa_barabasi_albert_N10_3reps,44,qaoa_barabasi_albert_N10_3reps,qaoa,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N10_3reps.qasm,tket,1,tket,,,,10,83,96,194,0,113,96,309,2.446082554757595,qaoa_barabasi_albert_N10_3reps__tket
659,45,qaoa_barabasi_albert_N11_3reps,45,qaoa_barabasi_albert_N11_3reps,qaoa,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N11_3reps.qasm,tket,1,tket,,,,11,86,108,217,0,119,108,345,3.522022632881999,qaoa_barabasi_albert_N11_3reps__tket
672,46,qaoa_barabasi_albert_N12_3reps,46,qaoa_barabasi_albert_N12_3reps,qaoa,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N12_3reps.qasm,tket,1,tket,,,,12,89,120,240,0,126,120,378,4.0108601078391075,qaoa_barabasi_albert_N12_3reps__tket
685,47,qaoa_barabasi_albert_N13_3reps,47,qaoa_barabasi_albert_N13_3reps,qaoa,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N13_3reps.qasm,tket,1,tket,,,,13,95,132,263,0,132,132,411,3.303944332525134,qaoa_barabasi_albert_N13_3reps__tket
698,48,qaoa_barabasi_albert_N14_3reps,48,qaoa_barabasi_albert_N14_3reps,qaoa,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N14_3reps.qasm,tket,1,tket,,,,14,98,144,286,0,145,144,444,11.061445555649698,qaoa_barabasi_albert_N14_3reps__tket
711,49,qaoa_barabasi_albert_N15_3reps,49,qaoa_barabasi_albert_N15_3reps,qaoa,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N15_3reps.qasm,tket,1,tket,,,,15,104,156,309,0,145,156,477,21.046227745711803,qaoa_barabasi_albert_N15_3reps__tket
724,50,qaoa_barabasi_albert_N16_3reps,50,qaoa_barabasi_albert_N16_3reps,qaoa,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N16_3reps.qasm,tket,1,tket,,,,16,110,168,332,0,155,168,510,4.114826872013509,qaoa_barabasi_albert_N16_3reps__tket
737,51,qaoa_barabasi_albert_N17_3reps,51,qaoa_barabasi_albert_N17_3reps,qaoa,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N17_3reps.qasm,tket,1,tket,,,,17,119,180,355,0,172,180,543,23.046144293621182,qaoa_barabasi_albert_N17_3reps__tket
750,52,qaoa_barabasi_albert_N18_3reps,52,qaoa_barabasi_albert_N18_3reps,qaoa,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N18_3reps.qasm,tket,1,tket,,,,18,128,192,378,0,193,192,576,6.362322010099888,qaoa_barabasi_albert_N18_3reps__tket
